Name,Value,Class
Af,2x2,double
Al,2x2,double
ax,1x1,matlab.graphics.axis.Axes
Bf,2x2,double
Bl,2x2,double
colors,7x3,double
dWfa_,3x20,double
dWfc_,3x20,double
dWla_,3x20,double
dWlc_,3x20,double
fig,1x1,matlab.ui.Figure
figPosition,1x4,double
figuresize,1x4,double
fontSize,12,double
fontsize,16,double
h1,2x1,matlab.graphics.chart.primitive.Line
h2,1x1,matlab.graphics.chart.decoration.ConstantLine
h3,2x1,matlab.graphics.chart.primitive.Line
h4,1x1,matlab.graphics.chart.decoration.ConstantLine
h5,1x1,matlab.graphics.chart.primitive.Line
h6,1x1,matlab.graphics.chart.primitive.Line
height,5.5556,double
i,3,double
labelFontSize,12,double
legendFontSize,10,double
len_t,10,double
len_uf,2,double
len_ul,2,double
len_Wf,3,double
len_Wl,3,double
len_xf,2,double
len_xl,2,double
lineWidth,2,double
linewidth,2,double
Marker,7x1,cell
MarkerIndices,1x11,double
Markersize,7,double
markerSize,10,double
N,20,double
path_fig,1x11,char
path_pwd,1x52,char
savefig_flag,0,double
T,0.01,double
t,1001x1,double
temp,6,double
tightfig_flag,0,double
tspan,1x1001,double
U,9625x5,double
ufmax,0.5,double
ulmax,0.5,double
Wf0,6x1,double
Wfa,1001x3,double
Wfc,1001x3,double
width,6.9444,double
Wl0,6x1,double
Wla,1001x3,double
Wlc,1001x3,double
X,1001x16,double
X0,16x1,double
xf,1001x2,double
xf0,2x1,double
xfd,1001x2,double
xl,1001x2,double
xl0,2x1,double
